sPoint1                                                  | sPoint2                                              | idx1 | idx2 | ∇% | ∇%P1 | ∇%P2 |    ∇ | match | ∇P1  | ∇P2
Hi-Way Fast Food Restaurant                              | Russian Traditions Restaurant                        |   12 |   17 | 15 |    4 |   12 | 1681 |  9245 | 411  | 1270
Food Village Restaurant                                  | Green Leaf International Restaurant                  |   26 |   59 | 16 |    4 |   13 | 1583 |  8206 | 360  | 1223
Al Ghaar Restaurant-North Karnataka                      | Chicken Tikka                                        |   28 |   34 | 16 |    5 |   12 | 1696 |  8853 | 470  | 1226
Chicken Tikka                                            | Delhi Nihari Restaurant - Al Nahda                   |   34 |   50 | 16 |   12 |    5 | 1731 |  8853 | 1226 | 505
Al shahd restaurant                                      | Kukko Restaurant                                     |   37 |   38 | 16 |   13 |    5 | 1893 |  9808 | 1421 | 472
Taza                                                     | Al Nahda Restaurant                                  |   18 |   19 | 17 |   14 |    4 | 1816 |  9004 | 1446 | 370
jordanian kitchen restaurant and just kunfa sweets       | Al Ghaar Restaurant-North Karnataka                  |    3 |   28 | 17 |   13 |    5 | 1846 |  8853 | 1376 | 470
Russian Traditions Restaurant                            | Al Nahda Restaurant                                  |   17 |   19 | 17 |   14 |    4 | 1881 |  9004 | 1511 | 370
Garlic Routes Restaurant LLC                             | Sigdi Restaurant - Al Nahda Dubai                    |    0 |   46 | 18 |   10 |    9 | 1746 |  8179 | 925  | 821
Noor Al Mandi Restaurant                                 | Nahda Gardens Restaurant                             |   24 |   52 | 18 |   12 |    8 | 1879 |  8550 | 1141 | 738
jordanian kitchen restaurant and just kunfa sweets       | Delhi Nihari Restaurant - Al Nahda                   |    3 |   50 | 18 |   13 |    5 | 1881 |  8853 | 1376 | 505
Chicken Tikka                                            | Jordanian kitchen restaurant and sweets sharjah      |   34 |   41 | 18 |   12 |    8 | 1988 |  8853 | 1226 | 762
Zaafaran Restaurant                                      | Najmat Pakistan Restaurant                           |   30 |   47 | 19 |   11 |   11 | 1972 |  8248 | 1002 | 970
Noor Al Mandi Restaurant                                 | Parkview Restaurant                                  |   24 |   53 | 19 |   12 |    9 | 1990 |  8550 | 1141 | 849
Taza                                                     | Al Ghaar Restaurant-North Karnataka                  |   18 |   28 | 19 |   15 |    5 | 2067 |  8853 | 1597 | 470
Taza                                                     | Delhi Nihari Restaurant - Al Nahda                   |   18 |   50 | 19 |   15 |    5 | 2102 |  8853 | 1597 | 505
Russian Traditions Restaurant                            | Al Ghaar Restaurant-North Karnataka                  |   17 |   28 | 19 |   16 |    5 | 2132 |  8853 | 1662 | 470
jordanian kitchen restaurant and just kunfa sweets       | Jordanian kitchen restaurant and sweets sharjah      |    3 |   41 | 19 |   13 |    8 | 2138 |  8853 | 1376 | 762
Al Ghaar Restaurant-North Karnataka                      | Zaafaran Restaurant                                  |   28 |   30 | 20 |   12 |   11 | 2077 |  8248 | 1075 | 1002
Zaafaran Restaurant                                      | Delhi Nihari Restaurant - Al Nahda                   |   30 |   50 | 20 |   11 |   12 | 2112 |  8248 | 1002 | 1110
Russian Traditions Restaurant                            | Delhi Nihari Restaurant - Al Nahda                   |   17 |   50 | 20 |   16 |    5 | 2167 |  8853 | 1662 | 505
Dawar Al Tawoon Restaurant                               | Al Bait Al Turkey Rest                               |    4 |   39 | 20 |    8 |   14 | 2259 |  8776 | 776  | 1483
Al Nahda Restaurant                                      | Zaafaran Restaurant                                  |   19 |   30 | 21 |   12 |   11 | 2128 |  8248 | 1126 | 1002
Taza                                                     | Jordanian kitchen restaurant and sweets sharjah      |   18 |   41 | 21 |   15 |    8 | 2359 |  8853 | 1597 | 762
Russian Traditions Restaurant                            | Jordanian kitchen restaurant and sweets sharjah      |   17 |   41 | 21 |   16 |    8 | 2424 |  8853 | 1662 | 762
Zaafaran Restaurant                                      | Jordanian kitchen restaurant and sweets sharjah      |   30 |   41 | 22 |   11 |   14 | 2369 |  8248 | 1002 | 1367
Al Reef Al Yamani Restaurant & Bakers                    | Samakati                                             |   23 |   51 | 23 |    7 |   18 | 1439 |  4825 | 358  | 1081
Sahara Star Restaurant                                   | Samakati                                             |   43 |   51 | 23 |    7 |   18 | 1439 |  4826 | 358  | 1081
Zaid Alammor                                             | Samakati                                             |   16 |   51 | 23 |    7 |   18 | 1451 |  4826 | 370  | 1081
AlKhettar Catering                                       | Samakati                                             |   29 |   51 | 23 |    7 |   18 | 1451 |  4826 | 370  | 1081
Laffah Restaurant Dubai Branch                           | Samakati                                             |   40 |   51 | 23 |    7 |   18 | 1456 |  4826 | 375  | 1081
Samakati                                                 | Zayed Al Amoor Seafood Restaurant                    |   51 |   57 | 23 |   18 |    7 | 1465 |  4826 | 1081 | 384
Al Reef Al Yamani Restaurant & Bakers                    | Al Aumdah Restaurant                                 |   23 |   55 | 23 |    7 |   19 | 1473 |  4825 | 358  | 1115
Sahara Star Restaurant                                   | Al Aumdah Restaurant                                 |   43 |   55 | 23 |    7 |   19 | 1473 |  4826 | 358  | 1115
Arabian Taste Resurant                                   | Zaafaran Restaurant                                  |    9 |   30 | 23 |   15 |   11 | 2407 |  8248 | 1405 | 1002
Hi-Way Fast Food Restaurant                              | Zaafaran Restaurant                                  |   12 |   30 | 23 |   15 |   11 | 2410 |  8248 | 1408 | 1002
Zaid Alammor                                             | Al Aumdah Restaurant                                 |   16 |   55 | 24 |    7 |   19 | 1485 |  4826 | 370  | 1115
AlKhettar Catering                                       | Al Aumdah Restaurant                                 |   29 |   55 | 24 |    7 |   19 | 1485 |  4826 | 370  | 1115
Laffah Restaurant Dubai Branch                           | Al Aumdah Restaurant                                 |   40 |   55 | 24 |    7 |   19 | 1490 |  4826 | 375  | 1115
Al Aumdah Restaurant                                     | Zayed Al Amoor Seafood Restaurant                    |   55 |   57 | 24 |   19 |    7 | 1499 |  4826 | 1115 | 384
Al Marhabani Restaurant                                  | Samakati                                             |   15 |   51 | 24 |    8 |   18 | 1523 |  4826 | 442  | 1081
Al Prince Al Amoor Restaurant -                          | Samakati                                             |   33 |   51 | 24 |    8 |   18 | 1525 |  4826 | 444  | 1081
Al Marhabani Restaurant                                  | Al Aumdah Restaurant                                 |   15 |   55 | 24 |    8 |   19 | 1557 |  4826 | 442  | 1115
Al Prince Al Amoor Restaurant -                          | Al Aumdah Restaurant                                 |   33 |   55 | 24 |    8 |   19 | 1559 |  4826 | 444  | 1115
Star One restaurant                                      | Samakati                                             |    5 |   51 | 25 |    9 |   18 | 1576 |  4826 | 495  | 1081
Star One restaurant                                      | Al Aumdah Restaurant                                 |    5 |   55 | 25 |    9 |   19 | 1610 |  4826 | 495  | 1115
Alvand Restaurant                                        | Samakati                                             |   20 |   51 | 25 |   20 |    8 | 1832 |  5444 | 1369 | 463
Food Village Restaurant                                  | Nahda Gardens Restaurant                             |   26 |   52 | 25 |   10 |   17 | 2508 |  7673 | 893  | 1615
Food Village Restaurant                                  | Parkview Restaurant                                  |   26 |   53 | 25 |   10 |   18 | 2619 |  7673 | 893  | 1726
Al Reef Al Yamani Restaurant & Bakers                    | Robyan Seafood Restaurant                            |   23 |   42 | 26 |    7 |   21 | 1675 |  4825 | 358  | 1317
Robyan Seafood Restaurant                                | Sahara Star Restaurant                               |   42 |   43 | 26 |   21 |    7 | 1675 |  4826 | 1317 | 358
Zaid Alammor                                             | Robyan Seafood Restaurant                            |   16 |   42 | 26 |    7 |   21 | 1687 |  4826 | 370  | 1317
AlKhettar Catering                                       | Robyan Seafood Restaurant                            |   29 |   42 | 26 |    7 |   21 | 1687 |  4826 | 370  | 1317
Laffah Restaurant Dubai Branch                           | Robyan Seafood Restaurant                            |   40 |   42 | 26 |    7 |   21 | 1692 |  4826 | 375  | 1317
Robyan Seafood Restaurant                                | Zayed Al Amoor Seafood Restaurant                    |   42 |   57 | 26 |   21 |    7 | 1701 |  4826 | 1317 | 384
Al Reef Al Yamani Restaurant & Bakers                    | Al Amoor Restaurant                                  |   23 |   49 | 26 |    7 |   22 | 1715 |  4825 | 358  | 1357
Sahara Star Restaurant                                   | Al Amoor Restaurant                                  |   43 |   49 | 26 |    7 |   22 | 1715 |  4826 | 358  | 1357
Al Nadeg Restaurant                                      | Samakati                                             |   22 |   51 | 26 |   12 |   18 | 1718 |  4826 | 637  | 1081
Zaid Alammor                                             | Al Amoor Restaurant                                  |   16 |   49 | 26 |    7 |   22 | 1727 |  4826 | 370  | 1357
AlKhettar Catering                                       | Al Amoor Restaurant                                  |   29 |   49 | 26 |    7 |   22 | 1727 |  4826 | 370  | 1357
Laffah Restaurant Dubai Branch                           | Al Amoor Restaurant                                  |   40 |   49 | 26 |    7 |   22 | 1732 |  4826 | 375  | 1357
Al Fakher Mandi                                          | Samakati                                             |   25 |   51 | 26 |   12 |   18 | 1733 |  4826 | 652  | 1081
Alvand Restaurant                                        | Al Aumdah Restaurant                                 |   20 |   55 | 26 |   20 |    8 | 1866 |  5444 | 1369 | 497
Zaafaran Restaurant                                      | Chicken Tikka                                        |   30 |   34 | 26 |   11 |   18 | 2833 |  8248 | 1002 | 1831
Al Amoor Restaurant                                      | Zayed Al Amoor Seafood Restaurant                    |   49 |   57 | 27 |   22 |    7 | 1741 |  4826 | 1357 | 384
Al Nadeg Restaurant                                      | Al Aumdah Restaurant                                 |   22 |   55 | 27 |   12 |   19 | 1752 |  4826 | 637  | 1115
Al Marhabani Restaurant                                  | Robyan Seafood Restaurant                            |   15 |   42 | 27 |    8 |   21 | 1759 |  4826 | 442  | 1317
Bangkok Town Restaurant                                  | Samakati                                             |   11 |   51 | 27 |   12 |   18 | 1761 |  4826 | 680  | 1081
Al Prince Al Amoor Restaurant -                          | Robyan Seafood Restaurant                            |   33 |   42 | 27 |    8 |   21 | 1761 |  4826 | 444  | 1317
Al Fakher Mandi                                          | Al Aumdah Restaurant                                 |   25 |   55 | 27 |   12 |   19 | 1767 |  4826 | 652  | 1115
Bangkok Town Restaurant                                  | Al Aumdah Restaurant                                 |   11 |   55 | 27 |   12 |   19 | 1795 |  4826 | 680  | 1115
Al Marhabani Restaurant                                  | Al Amoor Restaurant                                  |   15 |   49 | 27 |    8 |   22 | 1799 |  4826 | 442  | 1357
Al Prince Al Amoor Restaurant -                          | Al Amoor Restaurant                                  |   33 |   49 | 27 |    8 |   22 | 1801 |  4826 | 444  | 1357
Star One restaurant                                      | Robyan Seafood Restaurant                            |    5 |   42 | 27 |    9 |   21 | 1812 |  4826 | 495  | 1317
Nahda Gardens Restaurant                                 | Damietta Restaurant                                  |   52 |   54 | 27 |   17 |   14 | 2835 |  7673 | 1615 | 1220
jordanian kitchen restaurant and just kunfa sweets       | Zaafaran Restaurant                                  |    3 |   30 | 27 |   19 |   11 | 2983 |  8248 | 1981 | 1002
Kukko Restaurant                                         | Najmat Pakistan Restaurant                           |   38 |   47 | 27 |   20 |   11 | 3002 |  8248 | 2032 | 970
